,date,search_term,interest,year,month,year_trend,interest_sa
0,2018-12-02,insulation,47,2018,12,0.0,60.03190842627208
1,2018-12-09,insulation,47,2018,12,0.0,60.03190842627208
2,2018-12-16,insulation,39,2018,12,0.0,52.03190842627208
3,2018-12-23,insulation,26,2018,12,0.0,39.03190842627208
4,2018-12-30,insulation,43,2018,12,0.0,56.03190842627208
31,2019-07-07,insulation,35,2019,7,1.0,54.7764439188518
14,2019-03-10,insulation,46,2019,3,1.0,60.23307425932222
15,2019-03-17,insulation,46,2019,3,1.0,60.23307425932222
9,2019-02-03,insulation,55,2019,2,1.0,59.262370462994426
10,2019-02-10,insulation,51,2019,2,1.0,55.262370462994426
11,2019-02-17,insulation,48,2019,2,1.0,52.262370462994426
12,2019-02-24,insulation,48,2019,2,1.0,52.262370462994426
13,2019-03-03,insulation,47,2019,3,1.0,61.23307425932222
16,2019-03-24,insulation,40,2019,3,1.0,54.23307425932222
18,2019-04-07,insulation,45,2019,4,1.0,63.13737046299447
30,2019-06-30,insulation,40,2019,6,1.0,61.85859112478413
19,2019-04-14,insulation,39,2019,4,1.0,57.13737046299447
17,2019-03-31,insulation,43,2019,3,1.0,57.23307425932222
5,2019-01-06,insulation,55,2019,1,1.0,55.0
6,2019-01-13,insulation,57,2019,1,1.0,57.0
7,2019-01-20,insulation,63,2019,1,1.0,63.0
8,2019-01-27,insulation,66,2019,1,1.0,66.0
27,2019-06-09,insulation,43,2019,6,1.0,64.85859112478413
28,2019-06-16,insulation,33,2019,6,1.0,54.85859112478413
29,2019-06-23,insulation,37,2019,6,1.0,58.85859112478413
26,2019-06-02,insulation,39,2019,6,1.0,60.85859112478413
48,2019-11-03,insulation,62,2019,11,1.0,57.98722473386323
47,2019-10-27,insulation,60,2019,10,1.0,58.8888888888889
46,2019-10-20,insulation,55,2019,10,1.0,53.8888888888889
45,2019-10-13,insulation,54,2019,10,1.0,52.8888888888889
44,2019-10-06,insulation,54,2019,10,1.0,52.8888888888889
43,2019-09-29,insulation,50,2019,9,1.0,55.564473477725315
42,2019-09-22,insulation,45,2019,9,1.0,50.564473477725315
41,2019-09-15,insulation,44,2019,9,1.0,49.564473477725315
40,2019-09-08,insulation,47,2019,9,1.0,52.564473477725315
39,2019-09-01,insulation,43,2019,9,1.0,48.564473477725315
38,2019-08-25,insulation,36,2019,8,1.0,51.31098157410554
37,2019-08-18,insulation,42,2019,8,1.0,57.31098157410554
36,2019-08-11,insulation,42,2019,8,1.0,57.31098157410554
35,2019-08-04,insulation,40,2019,8,1.0,55.31098157410554
34,2019-07-28,insulation,35,2019,7,1.0,54.7764439188518
33,2019-07-21,insulation,36,2019,7,1.0,55.7764439188518
32,2019-07-14,insulation,41,2019,7,1.0,60.7764439188518
49,2019-11-10,insulation,65,2019,11,1.0,60.98722473386323
50,2019-11-17,insulation,70,2019,11,1.0,65.98722473386323
52,2019-12-01,insulation,61,2019,12,1.0,74.03190842627208
56,2019-12-29,insulation,41,2019,12,1.0,54.03190842627208
55,2019-12-22,insulation,30,2019,12,1.0,43.03190842627208
54,2019-12-15,insulation,50,2019,12,1.0,63.03190842627208
53,2019-12-08,insulation,51,2019,12,1.0,64.03190842627208
51,2019-11-24,insulation,53,2019,11,1.0,48.98722473386323
25,2019-05-26,insulation,33,2019,5,1.0,54.39996250244576
20,2019-04-21,insulation,38,2019,4,1.0,56.13737046299447
21,2019-04-28,insulation,41,2019,4,1.0,59.13737046299447
22,2019-05-05,insulation,42,2019,5,1.0,63.39996250244576
23,2019-05-12,insulation,40,2019,5,1.0,61.39996250244576
24,2019-05-19,insulation,41,2019,5,1.0,62.39996250244576
70,2020-04-05,insulation,37,2020,4,2.0,55.13737046299447
67,2020-03-15,insulation,39,2020,3,2.0,53.233074259322215
66,2020-03-08,insulation,45,2020,3,2.0,59.233074259322215
65,2020-03-01,insulation,52,2020,3,2.0,66.23307425932222
78,2020-05-31,insulation,46,2020,5,2.0,67.39996250244576
77,2020-05-24,insulation,40,2020,5,2.0,61.39996250244577
76,2020-05-17,insulation,45,2020,5,2.0,66.39996250244576
75,2020-05-10,insulation,46,2020,5,2.0,67.39996250244576
74,2020-05-03,insulation,40,2020,5,2.0,61.39996250244577
73,2020-04-26,insulation,41,2020,4,2.0,59.13737046299447
72,2020-04-19,insulation,39,2020,4,2.0,57.13737046299447
71,2020-04-12,insulation,37,2020,4,2.0,55.13737046299447
69,2020-03-29,insulation,36,2020,3,2.0,50.233074259322215
68,2020-03-22,insulation,36,2020,3,2.0,50.233074259322215
64,2020-02-23,insulation,50,2020,2,2.0,54.26237046299442
63,2020-02-16,insulation,54,2020,2,2.0,58.26237046299442
62,2020-02-09,insulation,60,2020,2,2.0,64.26237046299443
108,2020-12-27,insulation,63,2020,12,2.0,76.03190842627208
107,2020-12-20,insulation,43,2020,12,2.0,56.03190842627208
106,2020-12-13,insulation,53,2020,12,2.0,66.03190842627208
105,2020-12-06,insulation,73,2020,12,2.0,86.03190842627208
104,2020-11-29,insulation,74,2020,11,2.0,69.98722473386323
103,2020-11-22,insulation,67,2020,11,2.0,62.98722473386322
102,2020-11-15,insulation,72,2020,11,2.0,67.98722473386323
101,2020-11-08,insulation,70,2020,11,2.0,65.98722473386323
100,2020-11-01,insulation,67,2020,11,2.0,62.98722473386322
61,2020-02-02,insulation,56,2020,2,2.0,60.26237046299442
60,2020-01-26,insulation,57,2020,1,2.0,56.99999999999999
59,2020-01-19,insulation,60,2020,1,2.0,59.99999999999999
58,2020-01-12,insulation,55,2020,1,2.0,54.99999999999999
57,2020-01-05,insulation,53,2020,1,2.0,52.99999999999999
79,2020-06-07,insulation,52,2020,6,2.0,73.85859112478411
80,2020-06-14,insulation,47,2020,6,2.0,68.85859112478411
82,2020-06-28,insulation,51,2020,6,2.0,72.85859112478411
81,2020-06-21,insulation,49,2020,6,2.0,70.85859112478411
83,2020-07-05,insulation,83,2020,7,2.0,102.7764439188518
84,2020-07-12,insulation,57,2020,7,2.0,76.7764439188518
99,2020-10-25,insulation,65,2020,10,2.0,63.88888888888891
98,2020-10-18,insulation,70,2020,10,2.0,68.88888888888891
97,2020-10-11,insulation,73,2020,10,2.0,71.88888888888891
96,2020-10-04,insulation,75,2020,10,2.0,73.88888888888891
95,2020-09-27,insulation,82,2020,9,2.0,87.56447347772531
94,2020-09-20,insulation,68,2020,9,2.0,73.56447347772531
93,2020-09-13,insulation,61,2020,9,2.0,66.56447347772531
92,2020-09-06,insulation,63,2020,9,2.0,68.56447347772531
91,2020-08-30,insulation,61,2020,8,2.0,76.31098157410554
90,2020-08-23,insulation,57,2020,8,2.0,72.31098157410554
89,2020-08-16,insulation,54,2020,8,2.0,69.31098157410554
88,2020-08-09,insulation,53,2020,8,2.0,68.31098157410554
87,2020-08-02,insulation,57,2020,8,2.0,72.31098157410554
86,2020-07-26,insulation,53,2020,7,2.0,72.7764439188518
85,2020-07-19,insulation,55,2020,7,2.0,74.7764439188518
116,2021-02-21,insulation,67,2021,2,3.0,71.26237046299441
148,2021-10-03,insulation,69,2021,10,3.0,67.8888888888889
147,2021-09-26,insulation,63,2021,9,3.0,68.56447347772531
149,2021-10-10,insulation,64,2021,10,3.0,62.8888888888889
146,2021-09-19,insulation,56,2021,9,3.0,61.564473477725315
145,2021-09-12,insulation,50,2021,9,3.0,55.564473477725315
144,2021-09-05,insulation,45,2021,9,3.0,50.564473477725315
143,2021-08-29,insulation,44,2021,8,3.0,59.31098157410554
142,2021-08-22,insulation,46,2021,8,3.0,61.31098157410554
141,2021-08-15,insulation,50,2021,8,3.0,65.31098157410554
140,2021-08-08,insulation,44,2021,8,3.0,59.31098157410554
139,2021-08-01,insulation,43,2021,8,3.0,58.31098157410554
150,2021-10-17,insulation,75,2021,10,3.0,73.8888888888889
152,2021-10-31,insulation,81,2021,10,3.0,79.8888888888889
151,2021-10-24,insulation,67,2021,10,3.0,65.8888888888889
160,2021-12-26,insulation,39,2021,12,3.0,52.03190842627208
159,2021-12-19,insulation,39,2021,12,3.0,52.03190842627208
158,2021-12-12,insulation,50,2021,12,3.0,63.03190842627208
157,2021-12-05,insulation,65,2021,12,3.0,78.03190842627208
156,2021-11-28,insulation,77,2021,11,3.0,72.98722473386321
155,2021-11-21,insulation,70,2021,11,3.0,65.98722473386321
154,2021-11-14,insulation,63,2021,11,3.0,58.987224733863215
153,2021-11-07,insulation,68,2021,11,3.0,63.987224733863215
138,2021-07-25,insulation,42,2021,7,3.0,61.7764439188518
137,2021-07-18,insulation,42,2021,7,3.0,61.7764439188518
136,2021-07-11,insulation,44,2021,7,3.0,63.7764439188518
109,2021-01-03,insulation,88,2021,1,3.0,88.0
110,2021-01-10,insulation,82,2021,1,3.0,82.0
135,2021-07-04,insulation,44,2021,7,3.0,63.7764439188518
134,2021-06-27,insulation,43,2021,6,3.0,64.85859112478411
133,2021-06-20,insulation,44,2021,6,3.0,65.85859112478411
132,2021-06-13,insulation,42,2021,6,3.0,63.85859112478411
131,2021-06-06,insulation,46,2021,6,3.0,67.85859112478411
130,2021-05-30,insulation,46,2021,5,3.0,67.39996250244576
129,2021-05-23,insulation,48,2021,5,3.0,69.39996250244576
128,2021-05-16,insulation,49,2021,5,3.0,70.39996250244576
127,2021-05-09,insulation,55,2021,5,3.0,76.39996250244576
126,2021-05-02,insulation,56,2021,5,3.0,77.39996250244576
125,2021-04-25,insulation,58,2021,4,3.0,76.13737046299447
124,2021-04-18,insulation,58,2021,4,3.0,76.13737046299447
123,2021-04-11,insulation,58,2021,4,3.0,76.13737046299447
122,2021-04-04,insulation,59,2021,4,3.0,77.13737046299447
121,2021-03-28,insulation,58,2021,3,3.0,72.23307425932221
120,2021-03-21,insulation,68,2021,3,3.0,82.23307425932221
119,2021-03-14,insulation,64,2021,3,3.0,78.23307425932221
118,2021-03-07,insulation,64,2021,3,3.0,78.23307425932221
117,2021-02-28,insulation,67,2021,2,3.0,71.26237046299441
115,2021-02-14,insulation,83,2021,2,3.0,87.26237046299441
114,2021-02-07,insulation,100,2021,2,3.0,104.26237046299441
113,2021-01-31,insulation,75,2021,1,3.0,75.0
112,2021-01-24,insulation,78,2021,1,3.0,78.0
111,2021-01-17,insulation,75,2021,1,3.0,75.0
165,2022-01-30,insulation,73,2022,1,4.0,73.0
164,2022-01-23,insulation,75,2022,1,4.0,75.0
161,2022-01-02,insulation,63,2022,1,4.0,63.0
162,2022-01-09,insulation,82,2022,1,4.0,82.0
163,2022-01-16,insulation,74,2022,1,4.0,74.0
187,2022-07-03,insulation,47,2022,7,4.0,66.7764439188518
188,2022-07-10,insulation,47,2022,7,4.0,66.7764439188518
189,2022-07-17,insulation,49,2022,7,4.0,68.7764439188518
190,2022-07-24,insulation,56,2022,7,4.0,75.7764439188518
191,2022-07-31,insulation,58,2022,7,4.0,77.7764439188518
192,2022-08-07,insulation,57,2022,8,4.0,72.31098157410554
193,2022-08-14,insulation,58,2022,8,4.0,73.31098157410554
194,2022-08-21,insulation,77,2022,8,4.0,92.31098157410554
195,2022-08-28,insulation,82,2022,8,4.0,97.31098157410554
196,2022-09-04,insulation,78,2022,9,4.0,83.56447347772531
197,2022-09-11,insulation,80,2022,9,4.0,85.56447347772531
198,2022-09-18,insulation,76,2022,9,4.0,81.56447347772531
186,2022-06-26,insulation,50,2022,6,4.0,71.85859112478411
199,2022-09-25,insulation,96,2022,9,4.0,101.56447347772531
201,2022-10-09,insulation,82,2022,10,4.0,80.8888888888889
202,2022-10-16,insulation,77,2022,10,4.0,75.8888888888889
203,2022-10-23,insulation,65,2022,10,4.0,63.8888888888889
204,2022-10-30,insulation,76,2022,10,4.0,74.8888888888889
205,2022-11-06,insulation,81,2022,11,4.0,76.98722473386321
206,2022-11-13,insulation,84,2022,11,4.0,79.98722473386321
207,2022-11-20,insulation,92,2022,11,4.0,87.98722473386321
200,2022-10-02,insulation,89,2022,10,4.0,87.8888888888889
185,2022-06-19,insulation,51,2022,6,4.0,72.85859112478411
184,2022-06-12,insulation,47,2022,6,4.0,68.85859112478411
183,2022-06-05,insulation,56,2022,6,4.0,77.85859112478411
166,2022-02-06,insulation,77,2022,2,4.0,81.26237046299441
167,2022-02-13,insulation,71,2022,2,4.0,75.26237046299441
168,2022-02-20,insulation,67,2022,2,4.0,71.26237046299441
169,2022-02-27,insulation,61,2022,2,4.0,65.26237046299441
170,2022-03-06,insulation,71,2022,3,4.0,85.23307425932222
171,2022-03-13,insulation,61,2022,3,4.0,75.23307425932222
172,2022-03-20,insulation,63,2022,3,4.0,77.23307425932222
173,2022-03-27,insulation,71,2022,3,4.0,85.23307425932222
174,2022-04-03,insulation,74,2022,4,4.0,92.13737046299447
175,2022-04-10,insulation,57,2022,4,4.0,75.13737046299447
176,2022-04-17,insulation,59,2022,4,4.0,77.13737046299447
177,2022-04-24,insulation,53,2022,4,4.0,71.13737046299447
178,2022-05-01,insulation,55,2022,5,4.0,76.39996250244576
179,2022-05-08,insulation,55,2022,5,4.0,76.39996250244576
180,2022-05-15,insulation,53,2022,5,4.0,74.39996250244576
181,2022-05-22,insulation,52,2022,5,4.0,73.39996250244576
182,2022-05-29,insulation,47,2022,5,4.0,68.39996250244576
1250,2018-12-16,secondary glazing,38,2018,12,0.0,44.097689450619754
1249,2018-12-09,secondary glazing,37,2018,12,0.0,43.097689450619754
1248,2018-12-02,secondary glazing,27,2018,12,0.0,33.097689450619754
1251,2018-12-23,secondary glazing,11,2018,12,0.0,17.09768945061975
1252,2018-12-30,secondary glazing,19,2018,12,0.0,25.09768945061975
1271,2019-05-12,secondary glazing,17,2019,5,1.0,32.275962587881814
1272,2019-05-19,secondary glazing,15,2019,5,1.0,30.275962587881814
1273,2019-05-26,secondary glazing,16,2019,5,1.0,31.275962587881814
1274,2019-06-02,secondary glazing,12,2019,6,1.0,27.095404488529503
1275,2019-06-09,secondary glazing,20,2019,6,1.0,35.0954044885295
1276,2019-06-16,secondary glazing,4,2019,6,1.0,19.095404488529503
1277,2019-06-23,secondary glazing,16,2019,6,1.0,31.095404488529503
1278,2019-06-30,secondary glazing,18,2019,6,1.0,33.0954044885295
1279,2019-07-07,secondary glazing,17,2019,7,1.0,32.29252954111375
1280,2019-07-14,secondary glazing,29,2019,7,1.0,44.29252954111375
1281,2019-07-21,secondary glazing,16,2019,7,1.0,31.292529541113755
1282,2019-07-28,secondary glazing,14,2019,7,1.0,29.292529541113755
1283,2019-08-04,secondary glazing,21,2019,8,1.0,31.85736570763209
1284,2019-08-11,secondary glazing,0,2019,8,1.0,10.857365707632093
1285,2019-08-18,secondary glazing,10,2019,8,1.0,20.85736570763209
1286,2019-08-25,secondary glazing,19,2019,8,1.0,29.85736570763209
1287,2019-09-01,secondary glazing,18,2019,9,1.0,12.742463312058925
1270,2019-05-05,secondary glazing,27,2019,5,1.0,42.275962587881814
1288,2019-09-08,secondary glazing,36,2019,9,1.0,30.742463312058923
1269,2019-04-28,secondary glazing,20,2019,4,1.0,33.69764348540989
1267,2019-04-14,secondary glazing,17,2019,4,1.0,30.69764348540989
1253,2019-01-06,secondary glazing,30,2019,1,1.0,30.0
1254,2019-01-13,secondary glazing,33,2019,1,1.0,33.0
1255,2019-01-20,secondary glazing,39,2019,1,1.0,39.0
1256,2019-01-27,secondary glazing,44,2019,1,1.0,44.0
1257,2019-02-03,secondary glazing,42,2019,2,1.0,42.6351434854099
1258,2019-02-10,secondary glazing,34,2019,2,1.0,34.6351434854099
1259,2019-02-17,secondary glazing,30,2019,2,1.0,30.6351434854099
1260,2019-02-24,secondary glazing,17,2019,2,1.0,17.6351434854099
1261,2019-03-03,secondary glazing,18,2019,3,1.0,27.214731415264183
1263,2019-03-17,secondary glazing,31,2019,3,1.0,40.21473141526418
1264,2019-03-24,secondary glazing,28,2019,3,1.0,37.21473141526418
1265,2019-03-31,secondary glazing,25,2019,3,1.0,34.21473141526418
1266,2019-04-07,secondary glazing,12,2019,4,1.0,25.69764348540989
1268,2019-04-21,secondary glazing,10,2019,4,1.0,23.69764348540989
1289,2019-09-15,secondary glazing,38,2019,9,1.0,32.74246331205892
1291,2019-09-29,secondary glazing,29,2019,9,1.0,23.742463312058923
1290,2019-09-22,secondary glazing,39,2019,9,1.0,33.74246331205892
1292,2019-10-06,secondary glazing,39,2019,10,1.0,28.111111111111114
1293,2019-10-13,secondary glazing,35,2019,10,1.0,24.111111111111114
1294,2019-10-20,secondary glazing,47,2019,10,1.0,36.111111111111114
1295,2019-10-27,secondary glazing,40,2019,10,1.0,29.111111111111114
1296,2019-11-03,secondary glazing,49,2019,11,1.0,39.349679906496
1297,2019-11-10,secondary glazing,44,2019,11,1.0,34.349679906496
1298,2019-11-17,secondary glazing,46,2019,11,1.0,36.349679906496
1299,2019-11-24,secondary glazing,26,2019,11,1.0,16.349679906496
1300,2019-12-01,secondary glazing,34,2019,12,1.0,40.09768945061975
1301,2019-12-08,secondary glazing,26,2019,12,1.0,32.09768945061975
1302,2019-12-15,secondary glazing,18,2019,12,1.0,24.097689450619747
1303,2019-12-22,secondary glazing,12,2019,12,1.0,18.097689450619747
1304,2019-12-29,secondary glazing,22,2019,12,1.0,28.097689450619747
1262,2019-03-10,secondary glazing,15,2019,3,1.0,24.214731415264183
1327,2020-06-07,secondary glazing,14,2020,6,2.0,29.095404488529507
1328,2020-06-14,secondary glazing,27,2020,6,2.0,42.09540448852951
1329,2020-06-21,secondary glazing,12,2020,6,2.0,27.095404488529507
1330,2020-06-28,secondary glazing,13,2020,6,2.0,28.095404488529507
1331,2020-07-05,secondary glazing,23,2020,7,2.0,38.29252954111375
1333,2020-07-19,secondary glazing,29,2020,7,2.0,44.29252954111375
1332,2020-07-12,secondary glazing,20,2020,7,2.0,35.29252954111375
1356,2020-12-27,secondary glazing,33,2020,12,2.0,39.097689450619754
1334,2020-07-26,secondary glazing,5,2020,7,2.0,20.292529541113755
1335,2020-08-02,secondary glazing,17,2020,8,2.0,27.857365707632095
1336,2020-08-09,secondary glazing,13,2020,8,2.0,23.857365707632095
1337,2020-08-16,secondary glazing,26,2020,8,2.0,36.8573657076321
1338,2020-08-23,secondary glazing,19,2020,8,2.0,29.857365707632095
1339,2020-08-30,secondary glazing,35,2020,8,2.0,45.8573657076321
1340,2020-09-06,secondary glazing,21,2020,9,2.0,15.742463312058927
1341,2020-09-13,secondary glazing,17,2020,9,2.0,11.742463312058927
1342,2020-09-20,secondary glazing,33,2020,9,2.0,27.742463312058927
1343,2020-09-27,secondary glazing,27,2020,9,2.0,21.742463312058927
1344,2020-10-04,secondary glazing,49,2020,10,2.0,38.111111111111114
1346,2020-10-18,secondary glazing,41,2020,10,2.0,30.111111111111118
1347,2020-10-25,secondary glazing,36,2020,10,2.0,25.111111111111118
1348,2020-11-01,secondary glazing,35,2020,11,2.0,25.349679906495997
1349,2020-11-08,secondary glazing,25,2020,11,2.0,15.349679906495997
1350,2020-11-15,secondary glazing,25,2020,11,2.0,15.349679906495997
1351,2020-11-22,secondary glazing,31,2020,11,2.0,21.349679906495997
1352,2020-11-29,secondary glazing,31,2020,11,2.0,21.349679906495997
1353,2020-12-06,secondary glazing,25,2020,12,2.0,31.09768945061975
1354,2020-12-13,secondary glazing,13,2020,12,2.0,19.09768945061975
1355,2020-12-20,secondary glazing,12,2020,12,2.0,18.09768945061975
1345,2020-10-11,secondary glazing,42,2020,10,2.0,31.111111111111118
1307,2020-01-19,secondary glazing,21,2020,1,2.0,21.0
1308,2020-01-26,secondary glazing,29,2020,1,2.0,29.0
1309,2020-02-02,secondary glazing,26,2020,2,2.0,26.6351434854099
1310,2020-02-09,secondary glazing,31,2020,2,2.0,31.6351434854099
1311,2020-02-16,secondary glazing,31,2020,2,2.0,31.6351434854099
1312,2020-02-23,secondary glazing,28,2020,2,2.0,28.6351434854099
1313,2020-03-01,secondary glazing,23,2020,3,2.0,32.21473141526418
1314,2020-03-08,secondary glazing,17,2020,3,2.0,26.214731415264183
1315,2020-03-15,secondary glazing,16,2020,3,2.0,25.214731415264183
1316,2020-03-22,secondary glazing,7,2020,3,2.0,16.214731415264183
1306,2020-01-12,secondary glazing,18,2020,1,2.0,18.0
1317,2020-03-29,secondary glazing,9,2020,3,2.0,18.214731415264183
1319,2020-04-12,secondary glazing,15,2020,4,2.0,28.697643485409895
1320,2020-04-19,secondary glazing,13,2020,4,2.0,26.697643485409895
1321,2020-04-26,secondary glazing,11,2020,4,2.0,24.697643485409895
1322,2020-05-03,secondary glazing,13,2020,5,2.0,28.275962587881814
1323,2020-05-10,secondary glazing,14,2020,5,2.0,29.275962587881814
1324,2020-05-17,secondary glazing,19,2020,5,2.0,34.275962587881814
1325,2020-05-24,secondary glazing,16,2020,5,2.0,31.275962587881814
1326,2020-05-31,secondary glazing,19,2020,5,2.0,34.275962587881814
1318,2020-04-05,secondary glazing,12,2020,4,2.0,25.697643485409895
1305,2020-01-05,secondary glazing,30,2020,1,2.0,30.0
1408,2021-12-26,secondary glazing,9,2021,12,3.0,15.097689450619752
1369,2021-03-28,secondary glazing,18,2021,3,3.0,27.214731415264183
1370,2021-04-04,secondary glazing,28,2021,4,3.0,41.69764348540989
1371,2021-04-11,secondary glazing,27,2021,4,3.0,40.69764348540989
1372,2021-04-18,secondary glazing,20,2021,4,3.0,33.69764348540989
1373,2021-04-25,secondary glazing,28,2021,4,3.0,41.69764348540989
1374,2021-05-02,secondary glazing,21,2021,5,3.0,36.275962587881814
1375,2021-05-09,secondary glazing,18,2021,5,3.0,33.275962587881814
1376,2021-05-16,secondary glazing,11,2021,5,3.0,26.275962587881814
1377,2021-05-23,secondary glazing,24,2021,5,3.0,39.275962587881814
1378,2021-05-30,secondary glazing,9,2021,5,3.0,24.275962587881814
1368,2021-03-21,secondary glazing,21,2021,3,3.0,30.214731415264183
1379,2021-06-06,secondary glazing,17,2021,6,3.0,32.0954044885295
1381,2021-06-20,secondary glazing,5,2021,6,3.0,20.095404488529503
1382,2021-06-27,secondary glazing,24,2021,6,3.0,39.0954044885295
1383,2021-07-04,secondary glazing,14,2021,7,3.0,29.29252954111376
1384,2021-07-11,secondary glazing,0,2021,7,3.0,15.292529541113757
1386,2021-07-25,secondary glazing,13,2021,7,3.0,28.29252954111376
1387,2021-08-01,secondary glazing,20,2021,8,3.0,30.85736570763209
1388,2021-08-08,secondary glazing,16,2021,8,3.0,26.85736570763209
1389,2021-08-15,secondary glazing,19,2021,8,3.0,29.85736570763209
1390,2021-08-22,secondary glazing,7,2021,8,3.0,17.85736570763209
1380,2021-06-13,secondary glazing,20,2021,6,3.0,35.0954044885295
1391,2021-08-29,secondary glazing,19,2021,8,3.0,29.85736570763209
1367,2021-03-14,secondary glazing,28,2021,3,3.0,37.21473141526418
1365,2021-02-28,secondary glazing,32,2021,2,3.0,32.6351434854099
1366,2021-03-07,secondary glazing,27,2021,3,3.0,36.21473141526418
1357,2021-01-03,secondary glazing,43,2021,1,3.0,43.0
1358,2021-01-10,secondary glazing,34,2021,1,3.0,34.0
1359,2021-01-17,secondary glazing,35,2021,1,3.0,35.0
1360,2021-01-24,secondary glazing,32,2021,1,3.0,32.0
1361,2021-01-31,secondary glazing,32,2021,1,3.0,32.0
1362,2021-02-07,secondary glazing,54,2021,2,3.0,54.6351434854099
1363,2021-02-14,secondary glazing,26,2021,2,3.0,26.6351434854099
1364,2021-02-21,secondary glazing,16,2021,2,3.0,16.6351434854099
1392,2021-09-05,secondary glazing,19,2021,9,3.0,13.742463312058929
1385,2021-07-18,secondary glazing,11,2021,7,3.0,26.29252954111376
1394,2021-09-19,secondary glazing,26,2021,9,3.0,20.74246331205893
1393,2021-09-12,secondary glazing,21,2021,9,3.0,15.742463312058929
1395,2021-09-26,secondary glazing,42,2021,9,3.0,36.74246331205893
1396,2021-10-03,secondary glazing,42,2021,10,3.0,31.111111111111114
1397,2021-10-10,secondary glazing,38,2021,10,3.0,27.111111111111114
1398,2021-10-17,secondary glazing,48,2021,10,3.0,37.111111111111114
1400,2021-10-31,secondary glazing,51,2021,10,3.0,40.111111111111114
1401,2021-11-07,secondary glazing,43,2021,11,3.0,33.349679906496
1402,2021-11-14,secondary glazing,27,2021,11,3.0,17.349679906496
1403,2021-11-21,secondary glazing,40,2021,11,3.0,30.349679906496
1404,2021-11-28,secondary glazing,41,2021,11,3.0,31.349679906496
1405,2021-12-05,secondary glazing,34,2021,12,3.0,40.097689450619754
1399,2021-10-24,secondary glazing,20,2021,10,3.0,9.111111111111112
1407,2021-12-19,secondary glazing,19,2021,12,3.0,25.097689450619754
1406,2021-12-12,secondary glazing,22,2021,12,3.0,28.097689450619754
1423,2022-04-10,secondary glazing,28,2022,4,4.0,41.69764348540989
1424,2022-04-17,secondary glazing,21,2022,4,4.0,34.69764348540989
1425,2022-04-24,secondary glazing,16,2022,4,4.0,29.69764348540989
1426,2022-05-01,secondary glazing,35,2022,5,4.0,50.275962587881814
